score_cut,asym_cut,xcorr_cut,sensitivity_ucp,specificity_td,youden_J
0.7,0.3,0.3,0.5294117647058824,1.0,0.5294117647058822
0.7,0.3,0.4,0.4117647058823529,1.0,0.4117647058823528
0.7,0.3,0.5,0.23529411764705882,1.0,0.23529411764705888
0.7,0.3,0.6,0.23529411764705882,1.0,0.23529411764705888
0.7,0.4,0.3,0.6470588235294118,1.0,0.6470588235294117
0.7,0.4,0.4,0.5294117647058824,1.0,0.5294117647058822
0.7,0.4,0.5,0.47058823529411764,1.0,0.47058823529411775
0.7,0.4,0.6,0.4117647058823529,1.0,0.4117647058823528
0.7,0.5,0.3,0.7058823529411765,0.9285714285714286,0.634453781512605
0.7,0.5,0.4,0.5882352941176471,1.0,0.5882352941176472
0.7,0.5,0.5,0.47058823529411764,1.0,0.47058823529411775
0.7,0.5,0.6,0.4117647058823529,1.0,0.4117647058823528
0.7,0.6,0.3,0.8235294117647058,0.8571428571428571,0.6806722689075628
0.7,0.6,0.4,0.8235294117647058,0.8928571428571429,0.7163865546218489
0.7,0.6,0.5,0.6470588235294118,0.9285714285714286,0.5756302521008405
0.7,0.6,0.6,0.47058823529411764,0.9642857142857143,0.43487394957983194
0.85,0.3,0.3,0.47058823529411764,1.0,0.47058823529411775
0.85,0.3,0.4,0.4117647058823529,1.0,0.4117647058823528
0.85,0.3,0.5,0.23529411764705882,1.0,0.23529411764705888
0.85,0.3,0.6,0.17647058823529413,1.0,0.17647058823529416
0.85,0.4,0.3,0.5294117647058824,1.0,0.5294117647058822
0.85,0.4,0.4,0.47058823529411764,1.0,0.47058823529411775
0.85,0.4,0.5,0.47058823529411764,1.0,0.47058823529411775
0.85,0.4,0.6,0.4117647058823529,1.0,0.4117647058823528
0.85,0.5,0.3,0.5882352941176471,0.9285714285714286,0.5168067226890756
0.85,0.5,0.4,0.5294117647058824,1.0,0.5294117647058822
0.85,0.5,0.5,0.47058823529411764,1.0,0.47058823529411775
0.85,0.5,0.6,0.4117647058823529,1.0,0.4117647058823528
0.85,0.6,0.3,0.7647058823529411,0.8571428571428571,0.6218487394957983
0.85,0.6,0.4,0.7647058823529411,0.8928571428571429,0.6575630252100839
0.85,0.6,0.5,0.6470588235294118,0.9285714285714286,0.5756302521008405
0.85,0.6,0.6,0.47058823529411764,0.9642857142857143,0.43487394957983194
0.95,0.3,0.3,0.47058823529411764,1.0,0.47058823529411775
0.95,0.3,0.4,0.35294117647058826,1.0,0.3529411764705883
0.95,0.3,0.5,0.17647058823529413,1.0,0.17647058823529416
0.95,0.3,0.6,0.11764705882352941,1.0,0.11764705882352944
0.95,0.4,0.3,0.47058823529411764,1.0,0.47058823529411775
0.95,0.4,0.4,0.47058823529411764,1.0,0.47058823529411775
0.95,0.4,0.5,0.4117647058823529,1.0,0.4117647058823528
0.95,0.4,0.6,0.35294117647058826,1.0,0.3529411764705883
0.95,0.5,0.3,0.5294117647058824,0.9642857142857143,0.49369747899159666
0.95,0.5,0.4,0.47058823529411764,1.0,0.47058823529411775
0.95,0.5,0.5,0.4117647058823529,1.0,0.4117647058823528
0.95,0.5,0.6,0.35294117647058826,1.0,0.3529411764705883
0.95,0.6,0.3,0.6470588235294118,0.9642857142857143,0.6113445378151261
0.95,0.6,0.4,0.5882352941176471,0.9642857142857143,0.5525210084033614
0.95,0.6,0.5,0.5294117647058824,0.9642857142857143,0.49369747899159666
0.95,0.6,0.6,0.35294117647058826,1.0,0.3529411764705883
