Axis1,Axis2,Axis3,datetime,hand,hand_dominance,type,hand_type,session,hand_label,id
16,33,0,2017-10-23 17:40:57,L,L,ucp,dom,ndom,dom,UCP0
57,57,77,2017-10-23 17:40:57,R,L,ucp,ndom,ndom,ndom,UCP0
42,84,67,2017-10-23 17:40:58,R,L,ucp,ndom,ndom,ndom,UCP0
0,51,0,2017-10-23 17:40:58,L,L,ucp,dom,ndom,dom,UCP0
59,69,68,2017-10-23 17:40:59,R,L,ucp,ndom,ndom,ndom,UCP0
0,40,0,2017-10-23 17:40:59,L,L,ucp,dom,ndom,dom,UCP0
61,71,80,2017-10-23 17:41:00,R,L,ucp,ndom,ndom,ndom,UCP0
0,37,7,2017-10-23 17:41:00,L,L,ucp,dom,ndom,dom,UCP0
29,84,27,2017-10-23 17:41:01,R,L,ucp,ndom,ndom,ndom,UCP0
1,81,39,2017-10-23 17:41:01,L,L,ucp,dom,ndom,dom,UCP0
90,84,96,2017-10-23 17:41:02,R,L,ucp,ndom,ndom,ndom,UCP0
0,43,0,2017-10-23 17:41:02,L,L,ucp,dom,ndom,dom,UCP0
0,34,2,2017-10-23 17:41:03,L,L,ucp,dom,ndom,dom,UCP0
50,107,111,2017-10-23 17:41:03,R,L,ucp,ndom,ndom,ndom,UCP0
121,110,121,2017-10-23 17:41:04,R,L,ucp,ndom,ndom,ndom,UCP0
21,20,7,2017-10-23 17:41:04,L,L,ucp,dom,ndom,dom,UCP0
17,44,17,2017-10-23 17:41:05,R,L,ucp,ndom,ndom,ndom,UCP0
29,109,27,2017-10-23 17:41:05,L,L,ucp,dom,ndom,dom,UCP0
0,64,2,2017-10-23 17:41:06,L,L,ucp,dom,ndom,dom,UCP0
84,98,95,2017-10-23 17:41:06,R,L,ucp,ndom,ndom,ndom,UCP0
4,106,16,2017-10-23 17:41:07,L,L,ucp,dom,ndom,dom,UCP0
56,103,81,2017-10-23 17:41:07,R,L,ucp,ndom,ndom,ndom,UCP0
24,48,2,2017-10-23 17:41:08,L,L,ucp,dom,ndom,dom,UCP0
45,48,39,2017-10-23 17:41:08,R,L,ucp,ndom,ndom,ndom,UCP0
20,31,0,2017-10-23 17:41:09,L,L,ucp,dom,ndom,dom,UCP0
137,122,100,2017-10-23 17:41:09,R,L,ucp,ndom,ndom,ndom,UCP0
45,83,48,2017-10-23 17:41:10,R,L,ucp,ndom,ndom,ndom,UCP0
9,52,7,2017-10-23 17:41:10,L,L,ucp,dom,ndom,dom,UCP0
18,33,0,2017-10-23 17:41:11,L,L,ucp,dom,ndom,dom,UCP0
116,128,117,2017-10-23 17:41:11,R,L,ucp,ndom,ndom,ndom,UCP0
6,25,2,2017-10-23 17:41:12,L,L,ucp,dom,ndom,dom,UCP0
16,111,29,2017-10-23 17:41:12,R,L,ucp,ndom,ndom,ndom,UCP0
8,42,8,2017-10-23 17:41:13,L,L,ucp,dom,ndom,dom,UCP0
80,84,102,2017-10-23 17:41:13,R,L,ucp,ndom,ndom,ndom,UCP0
0,22,0,2017-10-23 17:41:14,L,L,ucp,dom,ndom,dom,UCP0
85,128,154,2017-10-23 17:41:14,R,L,ucp,ndom,ndom,ndom,UCP0
6,32,0,2017-10-23 17:41:15,L,L,ucp,dom,ndom,dom,UCP0
70,73,81,2017-10-23 17:41:15,R,L,ucp,ndom,ndom,ndom,UCP0
0,54,21,2017-10-23 17:41:16,L,L,ucp,dom,ndom,dom,UCP0
92,101,121,2017-10-23 17:41:16,R,L,ucp,ndom,ndom,ndom,UCP0
46,46,38,2017-10-23 17:41:17,R,L,ucp,ndom,ndom,ndom,UCP0
0,113,48,2017-10-23 17:41:17,L,L,ucp,dom,ndom,dom,UCP0
28,74,26,2017-10-23 17:41:18,L,L,ucp,dom,ndom,dom,UCP0
77,57,58,2017-10-23 17:41:18,R,L,ucp,ndom,ndom,ndom,UCP0
99,122,85,2017-10-23 17:41:19,R,L,ucp,ndom,ndom,ndom,UCP0
9,41,12,2017-10-23 17:41:19,L,L,ucp,dom,ndom,dom,UCP0
0,68,52,2017-10-23 17:41:20,L,L,ucp,dom,ndom,dom,UCP0
16,24,4,2017-10-23 17:41:20,R,L,ucp,ndom,ndom,ndom,UCP0
20,72,6,2017-10-23 17:41:21,L,L,ucp,dom,ndom,dom,UCP0
4,51,0,2017-10-23 17:41:21,R,L,ucp,ndom,ndom,ndom,UCP0
4,91,0,2017-10-23 17:41:22,L,L,ucp,dom,ndom,dom,UCP0
115,74,84,2017-10-23 17:41:22,R,L,ucp,ndom,ndom,ndom,UCP0
101,70,70,2017-10-23 17:41:23,R,L,ucp,ndom,ndom,ndom,UCP0
10,72,0,2017-10-23 17:41:23,L,L,ucp,dom,ndom,dom,UCP0
73,87,97,2017-10-23 17:41:24,R,L,ucp,ndom,ndom,ndom,UCP0
23,69,7,2017-10-23 17:41:24,L,L,ucp,dom,ndom,dom,UCP0
59,119,132,2017-10-23 17:41:25,R,L,ucp,ndom,ndom,ndom,UCP0
16,116,56,2017-10-23 17:41:25,L,L,ucp,dom,ndom,dom,UCP0
264,189,138,2017-10-23 17:42:35,L,L,ucp,dom,dom,dom,UCP0
41,42,28,2017-10-23 17:42:35,R,L,ucp,ndom,dom,ndom,UCP0
54,10,12,2017-10-23 17:42:36,R,L,ucp,ndom,dom,ndom,UCP0
204,173,71,2017-10-23 17:42:36,L,L,ucp,dom,dom,dom,UCP0
143,209,121,2017-10-23 17:42:37,L,L,ucp,dom,dom,dom,UCP0
55,11,7,2017-10-23 17:42:37,R,L,ucp,ndom,dom,ndom,UCP0
173,122,103,2017-10-23 17:42:38,L,L,ucp,dom,dom,dom,UCP0
50,4,14,2017-10-23 17:42:38,R,L,ucp,ndom,dom,ndom,UCP0
37,11,12,2017-10-23 17:42:39,R,L,ucp,ndom,dom,ndom,UCP0
168,156,118,2017-10-23 17:42:39,L,L,ucp,dom,dom,dom,UCP0
43,15,2,2017-10-23 17:42:40,R,L,ucp,ndom,dom,ndom,UCP0
144,108,110,2017-10-23 17:42:40,L,L,ucp,dom,dom,dom,UCP0
58,14,12,2017-10-23 17:42:41,R,L,ucp,ndom,dom,ndom,UCP0
206,208,160,2017-10-23 17:42:41,L,L,ucp,dom,dom,dom,UCP0
53,32,13,2017-10-23 17:42:42,R,L,ucp,ndom,dom,ndom,UCP0
171,164,92,2017-10-23 17:42:42,L,L,ucp,dom,dom,dom,UCP0
53,12,9,2017-10-23 17:42:43,R,L,ucp,ndom,dom,ndom,UCP0
212,233,96,2017-10-23 17:42:43,L,L,ucp,dom,dom,dom,UCP0
69,16,22,2017-10-23 17:42:44,R,L,ucp,ndom,dom,ndom,UCP0
174,211,148,2017-10-23 17:42:44,L,L,ucp,dom,dom,dom,UCP0
30,15,2,2017-10-23 17:42:45,R,L,ucp,ndom,dom,ndom,UCP0
189,245,97,2017-10-23 17:42:45,L,L,ucp,dom,dom,dom,UCP0
45,46,6,2017-10-23 17:42:46,R,L,ucp,ndom,dom,ndom,UCP0
172,206,169,2017-10-23 17:42:46,L,L,ucp,dom,dom,dom,UCP0
19,6,4,2017-10-23 17:42:47,R,L,ucp,ndom,dom,ndom,UCP0
93,94,52,2017-10-23 17:42:47,L,L,ucp,dom,dom,dom,UCP0
14,2,1,2017-10-23 17:42:48,R,L,ucp,ndom,dom,ndom,UCP0
151,80,54,2017-10-23 17:42:48,L,L,ucp,dom,dom,dom,UCP0
64,188,80,2017-10-23 17:42:49,L,L,ucp,dom,dom,dom,UCP0
28,26,0,2017-10-23 17:42:49,R,L,ucp,ndom,dom,ndom,UCP0
71,207,112,2017-10-23 17:42:50,L,L,ucp,dom,dom,dom,UCP0
1,0,0,2017-10-23 17:42:50,R,L,ucp,ndom,dom,ndom,UCP0
77,111,113,2017-10-23 17:42:51,L,L,ucp,dom,dom,dom,UCP0
7,0,0,2017-10-23 17:42:51,R,L,ucp,ndom,dom,ndom,UCP0
95,129,89,2017-10-23 17:42:52,L,L,ucp,dom,dom,dom,UCP0
6,2,0,2017-10-23 17:42:52,R,L,ucp,ndom,dom,ndom,UCP0
11,8,0,2017-10-23 17:42:53,R,L,ucp,ndom,dom,ndom,UCP0
145,180,147,2017-10-23 17:42:53,L,L,ucp,dom,dom,dom,UCP0
116,140,138,2017-10-23 17:42:54,L,L,ucp,dom,dom,dom,UCP0
38,1,10,2017-10-23 17:42:54,R,L,ucp,ndom,dom,ndom,UCP0
10,9,0,2017-10-23 17:42:55,R,L,ucp,ndom,dom,ndom,UCP0
146,123,113,2017-10-23 17:42:55,L,L,ucp,dom,dom,dom,UCP0
27,24,13,2017-10-23 17:42:56,R,L,ucp,ndom,dom,ndom,UCP0
126,123,52,2017-10-23 17:42:56,L,L,ucp,dom,dom,dom,UCP0
115,88,99,2017-10-23 17:42:57,L,L,ucp,dom,dom,dom,UCP0
14,12,0,2017-10-23 17:42:57,R,L,ucp,ndom,dom,ndom,UCP0
21,15,0,2017-10-23 17:42:58,R,L,ucp,ndom,dom,ndom,UCP0
91,82,82,2017-10-23 17:42:58,L,L,ucp,dom,dom,dom,UCP0
104,81,71,2017-10-23 17:42:59,L,L,ucp,dom,dom,dom,UCP0
26,14,2,2017-10-23 17:42:59,R,L,ucp,ndom,dom,ndom,UCP0
75,76,76,2017-10-23 17:43:00,L,L,ucp,dom,dom,dom,UCP0
20,8,0,2017-10-23 17:43:00,R,L,ucp,ndom,dom,ndom,UCP0
153,135,114,2017-10-23 17:43:01,L,L,ucp,dom,dom,dom,UCP0
23,3,2,2017-10-23 17:43:01,R,L,ucp,ndom,dom,ndom,UCP0
35,4,4,2017-10-23 17:43:02,R,L,ucp,ndom,dom,ndom,UCP0
204,160,54,2017-10-23 17:43:02,L,L,ucp,dom,dom,dom,UCP0
51,7,8,2017-10-23 17:43:03,R,L,ucp,ndom,dom,ndom,UCP0
214,165,165,2017-10-23 17:43:03,L,L,ucp,dom,dom,dom,UCP0
43,43,8,2017-10-23 17:43:04,R,L,ucp,ndom,dom,ndom,UCP0
181,261,157,2017-10-23 17:43:04,L,L,ucp,dom,dom,dom,UCP0
43,17,0,2017-10-23 17:43:05,R,L,ucp,ndom,dom,ndom,UCP0
90,162,49,2017-10-23 17:43:05,L,L,ucp,dom,dom,dom,UCP0
11,1,0,2017-10-23 17:43:06,R,L,ucp,ndom,dom,ndom,UCP0
36,86,57,2017-10-23 17:43:06,L,L,ucp,dom,dom,dom,UCP0
96,143,76,2017-10-23 17:43:07,L,L,ucp,dom,dom,dom,UCP0
9,2,0,2017-10-23 17:43:07,R,L,ucp,ndom,dom,ndom,UCP0
137,199,168,2017-10-23 17:43:08,L,L,ucp,dom,dom,dom,UCP0
12,0,0,2017-10-23 17:43:08,R,L,ucp,ndom,dom,ndom,UCP0
30,13,0,2017-10-23 17:43:09,R,L,ucp,ndom,dom,ndom,UCP0
89,134,87,2017-10-23 17:43:09,L,L,ucp,dom,dom,dom,UCP0
33,0,0,2017-10-23 17:43:10,R,L,ucp,ndom,dom,ndom,UCP0
97,137,114,2017-10-23 17:43:10,L,L,ucp,dom,dom,dom,UCP0
15,5,0,2017-10-23 17:43:11,R,L,ucp,ndom,dom,ndom,UCP0
152,200,133,2017-10-23 17:43:11,L,L,ucp,dom,dom,dom,UCP0
25,15,0,2017-10-23 17:43:12,R,L,ucp,ndom,dom,ndom,UCP0
167,125,112,2017-10-23 17:43:12,L,L,ucp,dom,dom,dom,UCP0
28,20,0,2017-10-23 17:43:13,R,L,ucp,ndom,dom,ndom,UCP0
53,59,33,2017-10-23 17:43:13,L,L,ucp,dom,dom,dom,UCP0
12,8,4,2017-10-23 17:43:14,R,L,ucp,ndom,dom,ndom,UCP0
201,226,144,2017-10-23 17:43:14,L,L,ucp,dom,dom,dom,UCP0
42,8,2,2017-10-23 17:43:15,R,L,ucp,ndom,dom,ndom,UCP0
171,156,55,2017-10-23 17:43:15,L,L,ucp,dom,dom,dom,UCP0
28,29,9,2017-10-23 17:43:16,R,L,ucp,ndom,dom,ndom,UCP0
96,132,63,2017-10-23 17:43:16,L,L,ucp,dom,dom,dom,UCP0
24,17,0,2017-10-23 17:43:17,R,L,ucp,ndom,dom,ndom,UCP0
134,125,108,2017-10-23 17:43:17,L,L,ucp,dom,dom,dom,UCP0
